Cultivars;Niv. de sens.;Trait;Al;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Experience
LIG;Élevé;inoc;14;11672;11;60;76130;3760;195;4169;9221;2648;76;1
LIG;Élevé;inoc;9;10883;12;69;73836;3427;217;3732;8986;2625;80;1
LIG;Élevé;inoc;123;10938;17;107;72795;3644;197;4331;8337;2483;77;1
LIG;Élevé;inoc;76;11036;14;84;76552;3861;199;4440;9348;2614;75;1
PIC;Faible;non;10;9597;7;40;46659;2812;32;3700;5132;1455;56;2
PIC;Faible;non;14;9625;9;44;38971;3051;31;4113;5318;1603;63;2
PIC;Faible;non;10;8958;7;41;45960;2715;28;3545;5013;1492;57;2
PIC;Faible;non;11;9554;7;51;42652;2852;31;3823;5405;1498;61;2
GOR;Faible;non;38;7633;7;71;59270;3126;39;3359;6406;1694;71;2
GOR;Faible;non;10;6596;7;45;52381;2730;34;3055;6216;1639;62;2
GOR;Faible;non;10;7281;7;45;59620;2721;39;3085;6242;1605;68;2
GOR;Faible;non;10;6688;7;43;52218;2622;30;2920;5410;1514;59;2
CHI;Faible;non;10;6784;6;39;27313;2934;27;4473;4897;1564;54;2
CHI;Faible;non;10;6720;7;51;21288;2722;30;3358;4503;1438;52;2
CHI;Faible;non;10;7658;7;44;46467;3337;32;4992;5923;1793;61;2
CHI;Faible;non;10;7246;7;44;34370;3078;31;4168;5752;1679;58;2
VIV;Faible;non;10;9201;8;58;60135;2881;43;3970;6011;2162;80;2
VIV;Faible;non;10;9927;8;56;59100;2760;40;3764;5690;2060;73;2
VIV;Faible;non;10;10229;9;57;69063;3229;47;4525;6837;2565;82;2
VIV;Faible;non;10;9776;9;58;62415;3185;44;4638;6039;2309;77;2
TUR;Moyen;non;13;6808;7;54;51792;3193;44;4233;6311;1705;68;2
TUR;Moyen;non;10;6486;6;39;44916;2880;32;3795;4981;1496;54;2
TUR;Moyen;non;10;6965;7;43;38107;3103;33;3478;6077;1671;66;2
TUR;Moyen;non;10;6660;7;49;50108;2965;34;3760;5510;1644;66;2
ROM;Moyen;non;12;8546;8;44;21506;3411;32;4686;5875;1685;67;2
ROM;Moyen;non;19;9473;8;50;37793;3340;37;4542;6702;1940;68;2
ROM;Moyen;non;19;9329;7;163;14670;3789;39;4091;6877;2253;82;2
ROM;Moyen;non;56;9751;8;89;65396;3530;38;4293;6834;2278;83;2
HOC;Élevé;non;10;7505;10;49;46470;2591;35;4439;5020;1635;63;2
HOC;Élevé;non;42;8390;10;74;53108;3062;41;4223;5478;1877;61;2
HOC;Élevé;non;10;9875;11;61;54618;3050;46;5556;5776;2042;89;2
HOC;Élevé;non;10;8000;9;50;53552;2828;36;4419;5443;1974;66;2
EST;Élevé;non;10;12907;10;62;60177;3251;47;4119;6806;2331;80;2
EST;Élevé;non;10;13182;11;69;65238;3506;50;4382;6997;2428;80;2
EST;Élevé;non;25;11603;8;70;59421;2890;49;3854;5479;2089;69;2
EST;Élevé;non;37;12353;9;84;64145;3217;51;4055;6541;2356;74;2
BRG;Élevé;non;10;10751;13;63;74674;2957;43;6103;7090;2883;90;2
BRG;Élevé;non;12;8981;11;57;60004;2882;41;5625;6537;2515;72;2
BRG;Élevé;non;64;9314;10;87;63759;2944;38;4115;6209;2513;74;2
BRG;Élevé;non;10;9883;11;51;71916;2734;39;3815;6678;2885;78;2
LIG;Élevé;non;10;10344;8;51;60332;3369;38;3675;7007;1627;66;2
LIG;Élevé;non;13;10207;8;59;57872;3375;34;4224;6924;1565;69;2
LIG;Élevé;non;10;11226;11;63;63968;3784;41;4745;7596;1895;79;2
LIG;Élevé;non;11;8612;6;47;49124;2821;34;3773;5322;1218;52;2
PIC;Faible;inoc;10;8489;8;40;38580;2771;32;3995;4645;1234;57;2
PIC;Faible;inoc;13;9293;7;54;42622;2984;35;3662;5117;1391;58;2
PIC;Faible;inoc;12;9367;7;51;44588;2820;34;3750;5196;1401;55;2
PIC;Faible;inoc;10;8820;7;41;40938;2913;34;3825;4811;1368;53;2
GOR;Faible;inoc;10;7315;8;45;51798;2701;40;2878;6147;1492;69;2
GOR;Faible;inoc;10;7164;7;50;47020;2890;38;3216;5510;1508;63;2
GOR;Faible;inoc;10;6357;7;43;43536;2517;34;2796;5388;1348;57;2
GOR;Faible;inoc;10;6367;7;40;38961;2711;33;3079;4943;1329;57;2
CHI;Faible;inoc;10;6091;8;38;32637;2631;28;3325;3910;1295;45;2
CHI;Faible;inoc;10;6601;7;51;36327;2805;26;4308;4187;1469;59;2
CHI;Faible;inoc;10;7115;8;44;43681;2958;27;4598;4947;1975;56;2
CHI;Faible;inoc;10;6637;7;59;38192;2683;30;3872;4246;1723;55;2
